Field,StrategyOrDate,LONG_ONLY,ESCAPE_WEEKLY_CHANGE_LIMIT,Value
AggReturn,2019-01-14 00:00:00,True,0.0,0.0004827324893516
AggReturn,2019-01-14 00:00:00,True,0.1,0.0004827324893516
AggReturn,2019-01-14 00:00:00,True,0.2,0.0004827324893516
AggReturn,2019-01-15 00:00:00,False,0.0,0.0678305187827864
AggReturn,2019-01-15 00:00:00,False,0.1,0.0459815847392637
AggReturn,2019-01-15 00:00:00,False,0.2,0.0459815847392637
AggReturn,2019-01-15 00:00:00,True,0.0,-0.0040117860239967
AggReturn,2019-01-15 00:00:00,True,0.1,-0.0040117860239967
AggReturn,2019-01-15 00:00:00,True,0.2,-0.0040117860239967
AggReturn,2019-01-16 00:00:00,False,0.0,0.0045980393982262
AggReturn,2019-01-16 00:00:00,False,0.1,0.0160008308038998
AggReturn,2019-01-16 00:00:00,False,0.2,0.0160008308038998
AggReturn,2019-01-16 00:00:00,True,0.0,0.00474784457198
AggReturn,2019-01-16 00:00:00,True,0.1,0.00474784457198
AggReturn,2019-01-16 00:00:00,True,0.2,0.00474784457198
AggReturn,2019-01-17 00:00:00,False,0.0,0.0475573144010286
AggReturn,2019-01-17 00:00:00,False,0.1,0.0326288737500315
AggReturn,2019-01-17 00:00:00,False,0.2,0.0326288737500315
AggReturn,2019-01-17 00:00:00,True,0.0,0.0047812609862266
AggReturn,2019-01-17 00:00:00,True,0.1,0.0047812609862266
AggReturn,2019-01-17 00:00:00,True,0.2,0.0047812609862266
AggReturn,2019-01-18 00:00:00,False,0.0,-0.0010571328342984
AggReturn,2019-01-18 00:00:00,False,0.1,0.006686367083385
AggReturn,2019-01-18 00:00:00,False,0.2,0.006686367083385
AggReturn,2019-01-18 00:00:00,True,0.0,0.0111634256677576
AggReturn,2019-01-18 00:00:00,True,0.1,0.0111634256677576
AggReturn,2019-01-18 00:00:00,True,0.2,0.0111634256677576
AggReturn,2019-01-22 00:00:00,False,0.0,0.0197374740000351
AggReturn,2019-01-22 00:00:00,False,0.1,0.0008372129945231
AggReturn,2019-01-22 00:00:00,False,0.2,0.0008372129945231
AggReturn,2019-01-22 00:00:00,True,0.0,0.0003935341097078
AggReturn,2019-01-22 00:00:00,True,0.1,0.0003935341097078
AggReturn,2019-01-22 00:00:00,True,0.2,0.0003935341097078
AggReturn,2019-01-23 00:00:00,False,0.0,0.0223861465457987
AggReturn,2019-01-23 00:00:00,False,0.1,0.0232656093443155
AggReturn,2019-01-23 00:00:00,False,0.2,0.0232656093443155
AggReturn,2019-01-23 00:00:00,True,0.0,0.0013569676115477
AggReturn,2019-01-23 00:00:00,True,0.1,0.0013569676115477
AggReturn,2019-01-23 00:00:00,True,0.2,0.0013569676115477
AggReturn,2019-01-24 00:00:00,False,0.0,-0.0149953952390733
AggReturn,2019-01-24 00:00:00,False,0.1,-0.0070599654956508
AggReturn,2019-01-24 00:00:00,False,0.2,-0.0070599654956508
AggReturn,2019-01-24 00:00:00,True,0.0,6.460242426301055e-05
AggReturn,2019-01-24 00:00:00,True,0.1,6.460242426301055e-05
AggReturn,2019-01-24 00:00:00,True,0.2,6.460242426301055e-05
AggReturn,2019-01-25 00:00:00,False,0.0,0.0018695282770691
AggReturn,2019-01-25 00:00:00,False,0.1,-0.0027949309554023
AggReturn,2019-01-25 00:00:00,False,0.2,-0.0027949309554023
AggReturn,2019-01-25 00:00:00,True,0.0,-0.0005730630927303
AggReturn,2019-01-25 00:00:00,True,0.1,-0.0005730630927303
AggReturn,2019-01-25 00:00:00,True,0.2,-0.0005730630927303
AggReturn,2019-01-28 00:00:00,False,0.0,0.0039308229065228
AggReturn,2019-01-28 00:00:00,False,0.1,0.0070106796736427
AggReturn,2019-01-28 00:00:00,False,0.2,0.0070106796736427
AggReturn,2019-01-28 00:00:00,True,0.0,-0.0040604733766327
AggReturn,2019-01-28 00:00:00,True,0.1,-0.0040604733766327
AggReturn,2019-01-28 00:00:00,True,0.2,-0.0040604733766327
AggReturn,2019-01-29 00:00:00,False,0.0,0.0117638971119528
AggReturn,2019-01-29 00:00:00,False,0.1,0.0209942123526573
AggReturn,2019-01-29 00:00:00,False,0.2,0.0209942123526573
AggReturn,2019-01-29 00:00:00,True,0.0,0.00396181605624
AggReturn,2019-01-29 00:00:00,True,0.1,0.00396181605624
AggReturn,2019-01-29 00:00:00,True,0.2,0.00396181605624
AggReturn,2019-01-30 00:00:00,False,0.0,0.0144502665495535
AggReturn,2019-01-30 00:00:00,False,0.1,0.007996790821256
AggReturn,2019-01-30 00:00:00,False,0.2,0.007996790821256
AggReturn,2019-01-30 00:00:00,True,0.0,0.0049870794402209
AggReturn,2019-01-30 00:00:00,True,0.1,0.0049870794402209
AggReturn,2019-01-30 00:00:00,True,0.2,0.0049870794402209
AggReturn,2019-01-31 00:00:00,False,0.0,-0.0008524329070316
AggReturn,2019-01-31 00:00:00,False,0.1,-0.0158517293799807
AggReturn,2019-01-31 00:00:00,False,0.2,-0.0158517293799807
AggReturn,2019-01-31 00:00:00,True,0.0,-0.0063737512628669
AggReturn,2019-01-31 00:00:00,True,0.1,-0.0063737512628669
AggReturn,2019-01-31 00:00:00,True,0.2,-0.0063737512628669
AggReturn,2019-02-01 00:00:00,False,0.0,0.0057384512279419
AggReturn,2019-02-01 00:00:00,False,0.1,-0.0027356063651123
AggReturn,2019-02-01 00:00:00,False,0.2,-0.0027356063651123
AggReturn,2019-02-01 00:00:00,True,0.0,0.0042036802205647
AggReturn,2019-02-01 00:00:00,True,0.1,0.0042070163516109
AggReturn,2019-02-01 00:00:00,True,0.2,0.0042070163516109
AggReturn,2019-02-04 00:00:00,False,0.0,-0.003852772989532
AggReturn,2019-02-04 00:00:00,False,0.1,0.0023813547412721
AggReturn,2019-02-04 00:00:00,False,0.2,0.0023813547412721
AggReturn,2019-02-04 00:00:00,True,0.0,0.0057650916124286
AggReturn,2019-02-04 00:00:00,True,0.1,0.0072433236368005
AggReturn,2019-02-04 00:00:00,True,0.2,0.0072433236368005
AggReturn,2019-02-05 00:00:00,False,0.0,0.0116480264279768
AggReturn,2019-02-05 00:00:00,False,0.1,0.0110891693579501
AggReturn,2019-02-05 00:00:00,False,0.2,0.0110891693579501
AggReturn,2019-02-05 00:00:00,True,0.0,0.0105130061604123
AggReturn,2019-02-05 00:00:00,True,0.1,0.0182860447200747
AggReturn,2019-02-05 00:00:00,True,0.2,0.0182860447200747
AggReturn,2019-02-06 00:00:00,False,0.0,0.0048315413178649
AggReturn,2019-02-06 00:00:00,False,0.1,-0.0027350298180147
AggReturn,2019-02-06 00:00:00,False,0.2,-0.0027350298180147
AggReturn,2019-02-06 00:00:00,True,0.0,-0.0027499597614581
AggReturn,2019-02-06 00:00:00,True,0.1,-0.0034278503227247
AggReturn,2019-02-06 00:00:00,True,0.2,-0.0034278503227247
AggReturn,2019-02-07 00:00:00,False,0.0,0.0111311119649976
AggReturn,2019-02-07 00:00:00,False,0.1,-0.0125424543616813
AggReturn,2019-02-07 00:00:00,False,0.2,-0.0125424543616813
AggReturn,2019-02-07 00:00:00,True,0.0,0.0037108491202901
AggReturn,2019-02-07 00:00:00,True,0.1,0.0063344727501487
AggReturn,2019-02-07 00:00:00,True,0.2,0.0063344727501487
AggReturn,2019-02-08 00:00:00,False,0.0,0.0199711502871429
AggReturn,2019-02-08 00:00:00,False,0.1,0.0200288384655382
AggReturn,2019-02-08 00:00:00,False,0.2,0.0200288384655382
AggReturn,2019-02-08 00:00:00,True,0.0,0.0025850452786903
AggReturn,2019-02-08 00:00:00,True,0.1,0.004557275506413
AggReturn,2019-02-08 00:00:00,True,0.2,0.004557275506413
