Field,StrategyOrDate,PRICE_LOWER_LIMIT,TOP_N_COUNT,Value
AggReturn,2019-01-02 00:00:00,500,16,0.0255162329228631
AggReturn,2019-01-02 00:00:00,500,4,0.1262583378258656
AggReturn,2019-01-02 00:00:00,500,8,0.0669725033940734
AggReturn,2019-01-02 00:00:00,800,12,0.0436140314476518
AggReturn,2019-01-02 00:00:00,800,16,0.0208559245515691
AggReturn,2019-01-02 00:00:00,800,4,0.2472399199054822
AggReturn,2019-01-02 00:00:00,800,8,0.0774940314313485
AggReturn,2019-01-03 00:00:00,1200,12,0.0531749689830643
AggReturn,2019-01-03 00:00:00,1200,16,0.0664530924800883
AggReturn,2019-01-03 00:00:00,1200,4,0.0063191292495839
AggReturn,2019-01-03 00:00:00,1200,8,0.0307901781623178
AggReturn,2019-01-03 00:00:00,300,12,0.0251795362895445
AggReturn,2019-01-03 00:00:00,300,16,0.0207813617892688
AggReturn,2019-01-03 00:00:00,300,4,0.0351884400901808
AggReturn,2019-01-03 00:00:00,300,8,0.0328083277453374
AggReturn,2019-01-03 00:00:00,500,12,0.0074687113624765
AggReturn,2019-01-03 00:00:00,500,16,0.0067705330290082
AggReturn,2019-01-03 00:00:00,500,4,0.013266625987661
AggReturn,2019-01-03 00:00:00,500,8,0.0115942896828099
AggReturn,2019-01-03 00:00:00,800,12,0.0081603282812753
AggReturn,2019-01-03 00:00:00,800,16,0.0220944368333641
AggReturn,2019-01-03 00:00:00,800,4,0.0086660644428522
AggReturn,2019-01-03 00:00:00,800,8,0.0042134006220228
AggReturn,2019-01-04 00:00:00,1200,12,-0.0239791822827702
AggReturn,2019-01-04 00:00:00,1200,16,-0.0340706468351814
AggReturn,2019-01-04 00:00:00,1200,4,-0.0092660095788579
AggReturn,2019-01-04 00:00:00,1200,8,-0.0111487366830889
AggReturn,2019-01-04 00:00:00,300,12,0.0067910209235995
AggReturn,2019-01-04 00:00:00,300,16,0.0048292467434869
AggReturn,2019-01-04 00:00:00,300,4,0.0040992897076951
AggReturn,2019-01-04 00:00:00,300,8,0.0159844413212266
AggReturn,2019-01-04 00:00:00,500,12,-0.0006775462951684
AggReturn,2019-01-04 00:00:00,500,16,0.0065662691227219
AggReturn,2019-01-04 00:00:00,500,4,0.0138343339149871
AggReturn,2019-01-04 00:00:00,500,8,0.0011192570216662
AggReturn,2019-01-04 00:00:00,800,12,-0.0028210501334599
AggReturn,2019-01-04 00:00:00,800,16,-0.0061886008895604
AggReturn,2019-01-04 00:00:00,800,4,-0.0104731566489614
AggReturn,2019-01-04 00:00:00,800,8,-0.0094149373983944
AggReturn,2019-01-07 00:00:00,1200,12,0.0410887522521238
AggReturn,2019-01-07 00:00:00,1200,16,0.0454139102056105
AggReturn,2019-01-07 00:00:00,1200,4,0.0345085782913822
AggReturn,2019-01-07 00:00:00,1200,8,0.0224514477458684
AggReturn,2019-01-07 00:00:00,300,12,0.0151494395715888
AggReturn,2019-01-07 00:00:00,300,16,0.0160255761900923
AggReturn,2019-01-07 00:00:00,300,4,0.0131619956557712
AggReturn,2019-01-07 00:00:00,300,8,0.009148588779483
AggReturn,2019-01-07 00:00:00,500,12,0.0102862086762428
AggReturn,2019-01-07 00:00:00,500,16,0.0069830516590375
AggReturn,2019-01-07 00:00:00,500,4,-0.0022938759881117
AggReturn,2019-01-07 00:00:00,500,8,0.0124286325838443
AggReturn,2019-01-07 00:00:00,800,12,0.0126082269184971
AggReturn,2019-01-07 00:00:00,800,16,0.0183176133718553
AggReturn,2019-01-07 00:00:00,800,4,0.0239151051387263
AggReturn,2019-01-07 00:00:00,800,8,0.0175527684516686
AggReturn,2019-01-08 00:00:00,1200,12,0.0624501249380694
AggReturn,2019-01-08 00:00:00,1200,16,0.0541779252102578
AggReturn,2019-01-08 00:00:00,1200,4,0.0655706960185739
AggReturn,2019-01-08 00:00:00,1200,8,0.0878310628015626
AggReturn,2019-01-08 00:00:00,300,12,0.0297600635326175
AggReturn,2019-01-08 00:00:00,300,16,0.0279089675419151
AggReturn,2019-01-08 00:00:00,300,4,0.0179840464106667
AggReturn,2019-01-08 00:00:00,300,8,0.0131085386505311
AggReturn,2019-01-08 00:00:00,500,12,0.0249201811474784
AggReturn,2019-01-08 00:00:00,500,16,0.0223410068836429
AggReturn,2019-01-08 00:00:00,500,4,0.0019112822041288
AggReturn,2019-01-08 00:00:00,500,8,0.0324871977504596
AggReturn,2019-01-08 00:00:00,800,12,0.0355707350599853
AggReturn,2019-01-08 00:00:00,800,16,0.0501823365638216
AggReturn,2019-01-08 00:00:00,800,4,0.0671262440784397
AggReturn,2019-01-08 00:00:00,800,8,0.0391639910354569
AggReturn,2019-01-09 00:00:00,1200,12,-0.0294245586165374
AggReturn,2019-01-09 00:00:00,1200,16,-0.0300824799963366
AggReturn,2019-01-09 00:00:00,1200,4,-0.0406257880068137
AggReturn,2019-01-09 00:00:00,1200,8,-0.0283833904570216
AggReturn,2019-01-09 00:00:00,300,12,-0.0084224484826517
AggReturn,2019-01-09 00:00:00,300,16,-0.0100216426830571
AggReturn,2019-01-09 00:00:00,300,4,0.0019188891951197
AggReturn,2019-01-09 00:00:00,300,8,0.0003999528607661
AggReturn,2019-01-09 00:00:00,500,12,-0.0143446978007028
AggReturn,2019-01-09 00:00:00,500,16,-0.0064889144451831
AggReturn,2019-01-09 00:00:00,500,4,-0.0021641168251436
AggReturn,2019-01-09 00:00:00,500,8,-0.0141156839973156
AggReturn,2019-01-09 00:00:00,800,12,-0.014451514000682
AggReturn,2019-01-09 00:00:00,800,16,-0.0239420452947483
AggReturn,2019-01-09 00:00:00,800,4,-0.0237049019824402
AggReturn,2019-01-09 00:00:00,800,8,-0.0201881985790791
AggReturn,2019-01-10 00:00:00,1200,12,0.0315650331144866
AggReturn,2019-01-10 00:00:00,1200,16,0.0510674747729151
AggReturn,2019-01-10 00:00:00,1200,4,-0.0121502212123867
AggReturn,2019-01-10 00:00:00,1200,8,-0.005738552497936
AggReturn,2019-01-10 00:00:00,300,12,-0.0141430312539749
AggReturn,2019-01-10 00:00:00,300,16,-0.0103167260658032
AggReturn,2019-01-10 00:00:00,300,4,-0.0226216283078325
