Field,StrategyOrDate,PRICE_LOWER_LIMIT,TOP_N_COUNT,Value
AggReturn,2019-01-02 00:00:00,800,2,-0.020676236153753
AggReturn,2019-01-02 00:00:00,800,4,0.0654213106842985
AggReturn,2019-01-02 00:00:00,800,8,0.0397378740935187
AggReturn,2019-01-03 00:00:00,1200,12,0.0052010501471237
AggReturn,2019-01-03 00:00:00,1200,16,0.0406260394711794
AggReturn,2019-01-03 00:00:00,1200,2,-0.0340986587634231
AggReturn,2019-01-03 00:00:00,1200,4,-0.0575000822684264
AggReturn,2019-01-03 00:00:00,1200,8,-0.0328560517904895
AggReturn,2019-01-03 00:00:00,500,12,-0.0515357717200477
AggReturn,2019-01-03 00:00:00,500,16,-0.0493919810150038
AggReturn,2019-01-03 00:00:00,500,2,-0.0341452210262322
AggReturn,2019-01-03 00:00:00,500,4,-0.0579929413092781
AggReturn,2019-01-03 00:00:00,500,8,-0.0552996380129843
AggReturn,2019-01-03 00:00:00,800,12,-0.0436429195873413
AggReturn,2019-01-03 00:00:00,800,16,-0.0244249035608146
AggReturn,2019-01-03 00:00:00,800,2,-0.0324018207917288
AggReturn,2019-01-03 00:00:00,800,4,-0.0357884080309959
AggReturn,2019-01-03 00:00:00,800,8,-0.0508101743143023
AggReturn,2019-01-04 00:00:00,1200,12,0.0019675982942596
AggReturn,2019-01-04 00:00:00,1200,16,-0.0205731935983369
AggReturn,2019-01-04 00:00:00,1200,2,0.0130727596461943
AggReturn,2019-01-04 00:00:00,1200,4,0.0374875763383385
AggReturn,2019-01-04 00:00:00,1200,8,0.0220478555426584
AggReturn,2019-01-04 00:00:00,500,12,0.0204395843905189
AggReturn,2019-01-04 00:00:00,500,16,0.0098753189523936
AggReturn,2019-01-04 00:00:00,500,2,0.0355568368017449
AggReturn,2019-01-04 00:00:00,500,4,0.0375808007633074
AggReturn,2019-01-04 00:00:00,500,8,0.0284645606246001
AggReturn,2019-01-04 00:00:00,800,12,0.0244603927179301
AggReturn,2019-01-04 00:00:00,800,16,0.019661500822264
AggReturn,2019-01-04 00:00:00,800,2,0.0195567164837212
AggReturn,2019-01-04 00:00:00,800,4,0.0243376059400487
AggReturn,2019-01-04 00:00:00,800,8,0.0277421207097811
AggReturn,2019-01-07 00:00:00,1200,12,0.0164523429259311
AggReturn,2019-01-07 00:00:00,1200,16,0.0343295962520763
AggReturn,2019-01-07 00:00:00,1200,2,-0.006839214233918
AggReturn,2019-01-07 00:00:00,1200,4,-0.026101451103179
AggReturn,2019-01-07 00:00:00,1200,8,-0.0143844491479743
AggReturn,2019-01-07 00:00:00,500,12,-0.0238866894911982
AggReturn,2019-01-07 00:00:00,500,16,-0.0209726862837575
AggReturn,2019-01-07 00:00:00,500,2,-0.0294548143019873
AggReturn,2019-01-07 00:00:00,500,4,-0.0478061375614911
AggReturn,2019-01-07 00:00:00,500,8,-0.0364900820834725
AggReturn,2019-01-07 00:00:00,800,12,-0.0223163633450135
AggReturn,2019-01-07 00:00:00,800,16,-0.0127574666010127
AggReturn,2019-01-07 00:00:00,800,2,-0.0090191047039699
AggReturn,2019-01-07 00:00:00,800,4,-0.028122699629651
AggReturn,2019-01-07 00:00:00,800,8,-0.0247930440509316
AggReturn,2019-01-08 00:00:00,1200,12,0.0306490975959541
AggReturn,2019-01-08 00:00:00,1200,16,0.0340669446816074
AggReturn,2019-01-08 00:00:00,1200,2,0.0518781369785356
AggReturn,2019-01-08 00:00:00,1200,4,0.0307007223957627
AggReturn,2019-01-08 00:00:00,1200,8,0.0410687313335284
AggReturn,2019-01-08 00:00:00,500,12,0.0113853090140629
AggReturn,2019-01-08 00:00:00,500,16,-0.0108598413425141
AggReturn,2019-01-08 00:00:00,500,2,-0.0065457392685828
AggReturn,2019-01-08 00:00:00,500,4,0.0032848332131624
AggReturn,2019-01-08 00:00:00,500,8,0.0224118004136427
AggReturn,2019-01-08 00:00:00,800,12,0.0045640661866856
AggReturn,2019-01-08 00:00:00,800,16,0.0296280562933837
AggReturn,2019-01-08 00:00:00,800,2,0.0499549608501728
AggReturn,2019-01-08 00:00:00,800,4,0.0361899331979368
AggReturn,2019-01-08 00:00:00,800,8,0.0164110284277872
AggReturn,2019-01-09 00:00:00,1200,12,-0.0213483812327692
AggReturn,2019-01-09 00:00:00,1200,16,-0.0302476044048578
AggReturn,2019-01-09 00:00:00,1200,2,-0.0500140305635055
